Sadt,3/26/2016,The Opener,1400,1,,3,
Sun,3/27/2016,BRITISH SUMMER TIME STARTS - CLOCKS FORWARD 1 HOUR,,,,
Sun,3/27/2016,Spring Series 1 of 10  ,1100,2,,
Mon ,3/28/2016,Bank holiday Monday,,,,
Sun,4/3/2016,Spring Series 2 of 10,1100,3,,
Tue,4/5/2016,Adult Training 1,1800,,,
Thu,4/7/2016,Spring Evening Series 1 of 10,1830,A,,
Sun,4/10/2016,Spring Series 3 of 10,1100,4,,
Tue,4/12/2016,Adult Training 2,1800,,,
Thu,4/14/2016,Spring Evening Series 2 of 10,1830,B,,
Sat,4/16/2016,Junior Training 1,0830,,1,
Sun,4/17/2016,Spring Series 4 of 10,1100,5,,
Tue,4/19/2016,Adult Training 3,1800,,,
Thu,4/21/2016,Spring Evening Series 3 of 10,1830,C,,
Sat,4/23/2016,Junior Training 2,0830,,1,
Sun,4/24/2016,Spring Series 5 of 10,1100,6,,
Tue,4/26/2016,Adult Training 4,1800,,,
Thu,4/28/2016,Spring Evening Series 4 of 10,1830,D,,
Sat ,4/30/2016,Cruise to Studland Bay (TBC),1030,,,
Sat,4/30/2016,Junior Training 3,0830,,1,
Sun,5/1/2016,1974 Cup - 3 races on a BH weekend,1100,7,,
BH Mon,5/2/2016,1974 Cup - continued,1100,8,,
Tue,5/3/2016,Adult Training 5,1800,,,
Thu,5/5/2016,Spring Evening Series 5 of 10,1830,E,,
Sat,5/7/2016,Junior Training 4,0830,,1,
Sun,5/8/2016,Spring Series 6 of 10,1100,9,,
Tue,5/10/2016,Adult Training 6,1800,,,
Thu,5/12/2016,Spring Evening Series 6 of 10 ,1900,F,, LATER START
Fri,5/13/2016,TGIF starts,1800,,,
Sat,5/14/2016,Commodores Cup - Peveril Ledge Buoy,1400,1,,
Sat,5/14/2016,Junior Training 5,0830,,1,
Sun,5/15/2016,Spring Series 7 of 10,1100,2,,
Tue,5/17/2016,Adult Training 7,1800,,,
Thu,5/19/2016,Spring Evening Series 7 of 10,1900,G,,
Fri,5/20/2016,TGIF ,1800,,,
Sat,5/21/2016,Junior Training 6,0830,,1,
Sun,5/22/2016,Spring Series 8 of 10 ,1100,3,,
Tue,5/24/2016,Adult Training 8,1800,,,
Thu,5/26/2016,Spring Evening Series 8 of 10,1900,H,,
Fri,5/27/2016,TGIF,1800,,,
Sat,5/28/2016,Junior Training 7,0830,,1,
Sat,5/28/2016,James Day Cup - Club's Anniversary,1400,4,,
Sun,5/29/2016,Spring Series 9 of 10,1100,5,,
Mon ,5/30/2016,Bank holiday Monday,,,,
Tue,5/31/2016,Adult Training 9,1800,,,
Thu,6/2/2016,Spring Evening Series 9 of 10,1900,J,,
Fri,6/3/2016,TGIF ,1800,,,
Sat,6/4/2016,Junior Training 8 ,0830,,1,
Sun,6/5/2016,Spring Series 10 of 10 ,1100,6,,
Sun,6/5/2016,Coronation Cup - to mark the Coronation,1430,7,,
Tue,6/7/2016,Adult Training 10,1800,,,
Thu,6/9/2016,Spring Evening Series 10 of 10,1900,A,,
Fri,6/10/2016,TGIF ,1800,,,
Sat ,6/11/2016,Cruise to Poole Harbour (TBC),1030,,,
Sat,6/11/2016,Junior Training 9,0830,,1,
Sun,6/12/2016,Summer Series 1 of 7  & Owerdale- over 60 ,1100,8,,
Tue,6/14/2016,Adult Training 11,1800,,,
Thu,6/16/2016,Summer Evening Series 1 of  7,1900,B,,
Fri,6/17/2016,TGIF,1800,,,
Sat,6/18/2016,Junior Training 10,0830,,1,
Sun,6/19/2016,Summer Series 2 of 7,1100,9,,
Tue,6/21/2016,Adult Training 12,1800,,,
Thu,6/23/2016,Summer Evening Series 2 of  7,1900,C,,
Fri,6/24/2016,TGIF,1800,,,
Sat,6/25/2016,Elizabeth Cup - Bournemouth ,1400,1, ,
Sat,6/25/2016,Junior Training 11,0830,,1,
Sun,6/26/2016,Summer Series 3 of 7,1100,2,,
Tue,6/28/2016,Wessex Shield and Vikki Thornhill Cup ,1800,,,
Thu,6/30/2016,Summer Evening Series 3 of  7,1900,D,,
Fri,7/1/2016,TGIF,1800,,,
Sat,7/2/2016,Chellingworth Cup - Pursuit Race,1400,3,,
Sat,7/2/2016,Junior Training 12,0830,,1,
Sun,7/3/2016,Summer Series 4 of 7,1100,4,,
Tue,7/5/2016,Adult Social Sailing,1800,,,
Thu,7/7/2016,Summer Evening Series 4 of  7,1900,F,,
Fri,7/8/2016,TGIF,1800,,,
Sun,7/10/2016,Summer Series 5 of 7,1100,5,,
Tue,7/12/2016,Adult Social Sailing,1800,,,
Thu,7/14/2016,Summer Evening Series 5 of  7,1900,E,,
Fri,7/15/2016,TGIF,1800,,,
Sat,7/16/2016,Knoll Cup - Studland Bay,1400,6,,
Sun,7/17/2016,Summer Series 6 of 7,1100,7,,
Tue,7/19/2016,Adult Social Sailing,1800,,,
Thu,7/21/2016,Summer Evening Series 6 of  7,1900,G,,
Fri,7/22/2016,TGIF,1800,,,
Sat,7/23/2016,Adult trainee regatta ,1030,,,
Sun,7/24/2016,Summer Series 7 of 7,1100,8,,
Tue,7/26/2016,Adult Social Sailing,1800,,,
Thu,7/28/2016,Summer Evening Series 7 of  7 ,1900,H,,
Fri,7/29/2016,Cruise to Chapman's Pool (TBC),1030,,,
Fri,7/29/2016,TGIF,1800,,,
Sat,7/30/2016,Fleming Trophy - Durlston Bay,1400,9,,
Sun,7/31/2016,Summer Series 1 of 6 - Back to Back,1030,1,,
Tue,8/2/2016,Adult Social Sailing,1800,,,
Thu,8/4/2016,Twilight Series 1 of 7 ,1830,J,,EARLIER START
Fri,8/5/2016,TGIF,1800,,,
Sun,8/7/2016,Summer Series 2 of 6 - Back to Back,1030,2,,
Mon ,8/8/2016,Junior week - start inc. Allan Cross (TBN),0930,,1,
Fri,8/12/2016,Junior week  - end,0930,,1,
Tue,8/9/2016,Adult Social Sailing,1800,,,
Tue,8/16/2016,RNLI Pennant (Juniors),1800,,1,
Thu,8/11/2016,Twilight Series 2 of 7 & RNLI Pennant,1830,A,,
Fri,8/12/2016,TGIF,1800,,,
Sat,8/13/2016,Fun Series 1 / Cup Reserve,1400,3,,
Sun,8/14/2016,Summer Series 3 of 6  - Back to back,1030,4,,
Tue,8/16/2016,Adult Social Sailing,1800,, ,
Thu,8/18/2016,Twilight Series 3 of 7 ,1830,B,,
Fri,8/19/2016,TGIF,1800,,,
Sun,8/21/2016,Summer Series 4 of 6 - Back to Back,1030,5,,
Tue,8/23/2016,Adult Social Sailing,1800,,,
Thu,8/25/2016,Twilight Series 4 of 7,1830,C,,
Fri,8/26/2016,TGIF,1800,,,
Sat,8/27/2016,,,,,
Sun,8/28/2016,Summer Series 5 of 6 - Back to back,1030,6,,
Sun,8/28/2016,Bent /Macdona Single Handed Cups,1430,7,,
Mon ,8/29/2016,Bank holiday Monday,,,,
Tue,8/30/2016,Adult Social Sailing,1800,,,
Thu,9/1/2016,Twilight Series 5 of 7,1830,D,,
Fri,9/2/2016,TGIF,1800,,,
Sun,9/4/2016,Summer Series 6 0f 6 - Back to back,1030,8,,
Tue,9/6/2016,Adult Social Sailing,1800,,,
Thu,9/8/2016,Twilight Series 6 of 7,1830,E,,
Fri,9/9/2016,TGIF,1800,,,
Sat,9/10/2016,Rees Cup - Poole Bar Buoy ,1400,9,,
Sun,9/11/2016,Autumn Series 1 of 8,1100,1,,
Tue,9/13/2016,Adult Social Sailing,1800,,,
Thu,9/15/2016,Twilight Series 7 of 7,1830,F,,
Fri,9/16/2016,TGIF ,1800,,,
Sat,9/17/2016,Fun Series 2 / Cup Reserve,1400,2,,
Sun,9/18/2016,Autumn Series 2 of 8,1100,3,,
Tue,9/20/2016,Adult Social Sailing - last one,1800,,,
Fri,9/23/2016,TGIF - last one,1800,,,
Sat,9/24/2016,Fun Series 3 / Cup  Reserve,1400,4,,
Sun,9/25/2016,Autumn Series 3 of 8,1100,5,,
Sun,10/2/2016,Autumn Series 4 of 8,1100,6,,
Sun,10/9/2016,Autumn Series 5 of 8,1100,7,,
Sun,10/16/2016,Autumn Series 6 of 8,1100,8,,
Sun,10/23/2016,Autumn Series 7 of 8,1100,9,,
Sun,10/30/2016,BRITISH SUMMER TIME ENDS - CLOCKS BACK ONE HOUR,,,,
Sun,10/30/2016,Autumn Series 8 of 8,1100,1,,
Sun,11/6/2016,Winter Fun Series,1100,,,
Sun,11/13/2016,Winter Fun Series,1100,,,
Sun,11/20/2016,Winter Fun Series,1100,,,
Sat,11/26/2016,AGM,1100,,,
Sun,11/27/2016,Active Sailors Meeting,1100,,,
Sun,12/4/2016,Winter Fun Series,1100,,,
Sun,12/11/2016,Winter Fun Series,1100,,,
Sun,12/18/2016,Winter Fun Series,1100,,,
