Sat ,3/11/2017,RYA Race Procedures Course ,0930-1430,,,
Sun,3/19/2017,Beach Clean and boat move,1030,,,
Sat,3/25/2017,The Opener,1400,3,,
Sun,3/26/2017,BRITISH SUMMER TIME - CLOCKS FORWARD 1 HOUR,,,,
Sun,3/26/2017,Spring Series 1 of 10  - Spring Berthing starts,1100,2,,
Sun,4/2/2017,Spring Series 2 of 10,1100,4,,
Tue,4/4/2017,Adult Training 1,1800,,,
Thu,4/6/2017,Spring Evening Series 1 of 10,1830,G,,
Sun,4/9/2017,Spring Series 3 of 10,1100,5,,
Tue,4/11/2017,Adult Training 2,1800,,,
Thu,4/13/2017,Spring Evening Series 2 of 10,1830,H,,
Fri,4/14/2017,Easter Bank Holiday w/e,,,,
Sat,4/15/2017,Junior Training 1,0830,,1,
Sun,4/16/2017,Spring Series 4 of 10,1100,6,,
Mon ,4/17/2017,Bank holiday Monday,,,,
Tue,4/18/2017,Adult Training 3,1800,,,
Thu,4/20/2017,Spring Evening Series 3 of 10,1830,J,,
Sat,4/22/2017,Junior Training 2,0830,,1,
Sun,4/23/2017,Spring Series 5 of 10,1100,7,,
Tue,4/25/2017,Adult Training 4,1800,,,
Thu,4/27/2017,Spring Evening Series 4 of 10,1830,A,,
Sat,4/29/2017,Junior Training 3,0830,,1,
Sun,4/30/2017,1974 Cup - 2 races on a BH weekend,1100,8,,
Mon ,5/1/2017,1974 Cup - 1 race  - continued,1100,9,,
Tue,5/2/2017,Adult Training 5,1800,,,
Thu,5/4/2017,Spring Evening Series 5 of 10,1830,B,,
Sat,5/6/2017,Junior Training 4,0830,,1,
Sun,5/7/2017,Spring Series 6 of 10,1100,1,,
Tue,5/9/2017,Adult Training 6,1800,,,
Thu,5/11/2017,Spring Evening Series 6 of 10 -LATER START,1900,C, ,
Fri,5/12/2017,TGIF starts,1800,,,
Sat,5/13/2017,Junior Training 5,0830,,1,
Sun,5/14/2017,Spring Series 7 of 10,1100,2,,
Tue,5/16/2017,Adult Training 7,1800,,,
Thu,5/18/2017,Spring Evening Series 7 of 10,1900,D,,
Fri,5/19/2017,TGIF ,1800,,,
Sat,5/20/2017,Junior Training 6,0830,,1,Kayak Fishing 
Sun,5/21/2017,Spring Series 8 of 10 ,1100,3,,
Tue,5/23/2017,Adult Training 8,1800,,,
Thu,5/25/2017,Spring Evening Series 8 of 10,1900,E,,
Fri,5/26/2017,TGIF,1800,,,
Sat,5/27/2017,Junior Training 7,0830,,1,
